id,kind,deck,model,prompt,review,review_notes,confidence
fw-bwo-nymph,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A Blue-Winged Olive mayfly nymph (Baetis species), the aquatic immature insect underwater, dorsal view from directly above, body about 6 mm long excluding the tails. Slim streamlined torpedo-shaped swimmer, olive to olive-brown with faint paler bands across the abdomen. Ten-segmented abdomen carrying a single small oval heart-shaped flat gill plate on each side of segments one to seven, lying along the top and sides of the abdomen. Rounded head with eyes at the sides and long slender antennae, each antenna two to three times as long as the head is wide. Thorax bears one pair of dark forewing pads and a much smaller pair of hindwing pads, with no actual wings. Six slender legs, each ending in a single hooked claw. Three slender tail filaments fringed with fine hairs, the middle filament slightly shorter than the two outer ones. It is an aquatic insect nymph, not a bird, not a shrimp.",minor,"'small head with short antennae' - macroinvertebrates.org gives Baetidae antennae as 'long', 'at least two or three times the width of the head'; short antennae is a Heptageniidae/Ephemerellidae character, not a Baetis one | 'three tail filaments (two for Epeorus/Quill Gordon)' - leaked template text about a different genus that has nothing to do with Baetis; an image model given this may draw two tails",high
fw-bwo-emerger,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A Blue-Winged Olive mayfly (Baetis species) emerging at the water surface, strict side view with a horizontal waterline across the image, total length about 6 mm. The olive-brown nymphal skin has split open along the mid-line of the back of the thorax; the pale olive-bodied adult dun is pushing up and out of the split with its two wings still soft, crumpled and dull slate grey. The emptied translucent amber-brown nymphal shuck trails behind and below, still hanging in the surface film, and it keeps the nymph's three fringed tail filaments and the row of small oval gill plates along its abdomen. The emerging adult itself has a slender olive abdomen, six thin legs and only two long tail filaments. It is an aquatic insect at the moment of moulting into an adult, not a bird, not a shrimp.",minor,"no tail counts given at all, so the prompt cannot enforce the single most diagnostic emergence detail: three tails on the discarded shuck, two tails on the emerging Baetis dun",high
fw-bwo-dun,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Blue-Winged Olive mayfly (Baetis species) at the dun or subimago stage, strict side view, standing on the water surface with a waterline across the image, body about 6 mm long. Slender segmented abdomen in olive to olive-brown, curving slightly upward at the rear; compact thorax; small head with large compound eyes and short antennae. Six thin legs, the front pair held forward. One pair of large wings held together vertically upright over the back like a sail, the wing membrane dull and opaque in shades of grey with a faint pale blue tint and fine darker veining, plus a minute second pair of hindwings tucked behind them. Exactly two long slender tail filaments, about as long as the body, trailing straight behind. It is an adult aquatic insect, a mayfly, not a bird, not a moth.",minor,"'two or three very long thin tail filaments' - Baetis duns have two tails, never three; Troutnut's Baetis page states duns 'display two caudal filaments rather than three'. Leaving it ambiguous invites a three-tailed drawing | 'two large translucent opaque-tinted wings' - a mayfly has four wings; Baetis carries a minute second pair of hindwings behind the large forewings | 'very long' tails - the dun's tails are roughly body length, not the greatly elongated filaments of the spinner",high
fw-bwo-spinner,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Blue-Winged Olive mayfly (Baetis species) at the spent spinner stage, dead and lying flat in the water surface film, viewed from directly above, body about 6 mm long. Slender segmented abdomen in rusty olive-brown, paler and translucent toward the middle segments. One pair of large fully clear glassy transparent wings with fine dark veins, spread flat out to the sides in a cross shape and lying on the water, plus a minute second pair of clear hindwings behind them. Small head with large compound eyes, six thin legs collapsed and splayed. Exactly two extremely long slender tail filaments, considerably longer than the body, splayed apart behind. It is an adult aquatic insect, a mayfly, not a bird, not a dragonfly.",minor,"'two or three extremely long tail filaments splayed' - Baetis spinners have two tails only; Troutnut states spinners 'retain the two-tailed configuration of duns' | 'two clear glassy transparent wings' - omits the minute hindwing pair, so the animal is drawn with a two-winged, fly-like build",high
fw-pmd-nymph,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A Pale Morning Dun mayfly nymph (Ephemerella excrucians), the aquatic immature insect underwater, dorsal view from directly above, body about 9 mm long excluding the tails. Stocky compact spiny crawler, mottled reddish-brown and olive with faint pale longitudinal stripes down the back of the abdomen. Flat oval gill plates lie on TOP of abdominal segments three to seven only, overlapping backwards like roof tiles; segments one and two carry no gills. Small paired tubercles or short blunt spines run down the middle of the abdominal segments. Small head with short antennae and eyes at the sides; thorax bears one pair of dark forewing pads and a smaller pair of hindwing pads, with no actual wings. Six sturdy legs, the front femora noticeably thickened and fringed with bristles. Three tail filaments fringed with fine hairs, held spread apart in a fan. It is an aquatic insect nymph, not a bird, not a shrimp.",minor,"'a row of small gills along each side' - macroinvertebrates.org states Ephemerella gills are on segments 3-7 with 'segment 2 without gills', and they are plate-like lamellae lying in paired depressions on the top of the abdomen, not a lateral row running the length of the body | 'three tail filaments (two for Epeorus/Quill Gordon)' - leaked template text naming an unrelated genus | 'Ephemerella spp.' is genus-level; the PMD hatch is E. excrucians in the west and E. dorothea infrequens, which differ in size and shade",high
fw-pmd-emerger,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A Pale Morning Dun mayfly (Ephemerella excrucians) emerging at the water surface, strict side view with a horizontal waterline across the image, total length about 8 mm. The mottled reddish-brown nymphal skin has split open along the mid-line of the back of the thorax and the pale yellow-olive adult dun is levering itself up and out, its two wings still soft, crumpled and pale grey. The emptied nymphal shuck hangs behind and below in the surface film, still showing its three hair-fringed tails and the flat oval gill plates on top of abdominal segments three to seven. The emerging adult has a slender pale yellow-olive abdomen, six thin legs and three long tail filaments. It is an aquatic insect at the moment of moulting into an adult, not a bird, not a shrimp.",minor,"no tail count is stated for either the shuck or the emerging dun - both are three in Ephemerella, and leaving it unsaid is the usual route to a wrongly drawn mayfly",medium
fw-pmd-dun,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Pale Morning Dun mayfly (Ephemerella excrucians) at the dun or subimago stage, strict side view, standing on the water surface with a waterline across the image, body about 7 mm long. Slender segmented abdomen in pale yellow to soft yellow-olive, curving slightly upward at the rear; compact thorax; small head with compound eyes and short antennae; six thin legs. One pair of large wings held together vertically upright over the back like a sail, the membrane dull and opaque pale grey with a faint yellowish tinge along the leading edge, plus a distinctly smaller second pair of hindwings behind them. Three slender tail filaments, roughly body length, trailing behind. It is an adult aquatic insect, a mayfly, not a bird, not a moth.",minor,"'two or three very long thin tail filaments' - Ephemerella adults have three tails; Wikipedia's Ephemerellidae page and Troutnut's Ephemerella material both give three tails in nymph and adult. The ambiguity permits a two-tailed drawing, which would be wrong | 'two large translucent opaque-tinted wings' - omits the second, smaller pair of hindwings, which are well developed and visible in Ephemerella",high
fw-pmd-spinner,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Pale Morning Dun mayfly (Ephemerella excrucians) at the spent spinner stage, dead and lying flat in the water surface film, viewed from directly above, body about 7 mm long. Slender segmented abdomen in reddish-brown to rust, darker across the thorax. One pair of large fully clear glassy transparent wings with fine veins, spread flat out to the sides in a cross shape and lying on the water, plus a smaller second pair of clear hindwings behind them. Small head with compound eyes, six thin legs collapsed and splayed. Three long slender tail filaments, longer than the body, splayed apart behind, whitish with fine dark brown bands at the joints. It is an adult aquatic insect, a mayfly, not a bird, not a dragonfly.",minor,"'two or three extremely long tail filaments splayed' - Ephemerella adults have three tails, not two | 'two clear glassy transparent wings' - omits the second smaller pair of hindwings",high
fw-hendrickson-nymph,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. A Hendrickson mayfly nymph (Ephemerella subvaria), the aquatic immature insect underwater, dorsal view from directly above, body about 11 mm long excluding the tails. Robust stocky spiny crawler, mottled reddish-brown and olive. Flat oval gill plates lie on TOP of abdominal segments three to seven only, overlapping backwards like roof tiles; segments one and two carry no gills. A row of small paired spines or tubercles runs down the middle of the abdominal segments. Small head with short antennae and eyes at the sides; thorax bears one pair of dark forewing pads and a smaller pair of hindwing pads, with no actual wings. Six sturdy legs, the front femora thickened and bristly, each tibia marked with two dark bands. Three tail filaments densely fringed with fine hairs and held spread wide in a fan. It is an aquatic insect nymph, not a bird, not a shrimp.",minor,"'a row of small gills along each side' - Ephemerella gills sit as flat overlapping plates on the TOP of segments 3-7, with no gill on segment 2; a lateral row along the whole abdomen is wrong for this family | 'three tail filaments (two for Epeorus/Quill Gordon)' - leaked template text about an unrelated genus",high
fw-hendrickson-dun,insect,food-fw,fal-ai/nano-banana-2,"Scientific entomological illustration, ink line and soft watercolor wash on plain cream paper, accurate anatomy, no text, no labels. An adult Hendrickson mayfly (Ephemerella subvaria) at the dun or subimago stage, strict side view, standing on the water surface with a waterline across the image, body about 10 mm long. Slender segmented abdomen curving slightly upward at the rear, pinkish-tan to olive-tan in the female form and deep reddish-brown in the male form, shaded smoky along the lower edges of the segments. Deep brown thorax with reddish tinges, small head with large compound eyes tinted reddish-brown, short antennae, six thin dull amber legs. One pair of large wings held together vertically upright over the back like a sail, the membrane dull opaque smoky slate grey with distinctly light brown veins, plus a smaller second pair of hindwings behind them. Three slender tail filaments, roughly body length, pale yellowish at the base with fine smoky brown bands at the joints. It is an adult aquatic insect, a mayfly, not a bird, not a moth.",minor,"'two or three very long thin tail filaments' - Ephemerella adults have three tails; the ambiguity permits a wrong two-tailed drawing | 'two large translucent opaque-tinted wings' - omits the second, smaller pair of hindwings",high
